"lon","lat","Cluster_drop"
-66.25706667,45.18628333,"1"
-66.25483333,45.18533333,"1"
-66.25236667,45.1841,"1"
-66.2486,45.18301667,"1"
-66.24531667,45.18128333,"1"
-66.24243333,45.17888333,"4"
-66.24101667,45.17626667,"4"
-66.24018333,45.17315,"4"
-66.24038333,45.17015,"4"
-66.24205,45.16558333,"4"
-66.23395,45.16111667,"6"
-66.23531667,45.15476667,"5"
-66.23871667,45.14865,"5"
-66.24478333,45.14768333,"5"
-66.25236667,45.1501,"3"
-66.25671667,45.15658333,"2"
-66.25015,45.16575,"4"
-66.2447,45.16161667,"5"
-66.24491667,45.15568333,"5"
-66.24588333,45.15095,"5"
-66.26161667,45.15901667,"2"
-66.26763333,45.16278333,"2"
-66.24703333,45.1754,"4"
-66.24963333,45.17981667,"1"
-66.23893333,45.17918333,"4"
-66.23751667,45.1739,"4"
-66.23016667,45.175,"6"
-66.22865,45.16996667,"6"
-66.23168333,45.16553333,"6"
-66.23608333,45.16968333,"6"
-66.26365,45.14396667,"3"
-66.2616,45.1416,"3"
-66.26006667,45.14075,"3"
-66.26276667,45.15641667,"2"
-66.26281667,45.1583,"2"
-66.23096667,45.15391667,"5"
-66.23036667,45.15475,"5"
-66.23123333,45.16595,"6"
-66.23213333,45.16965,"6"
-66.24256667,45.17343333,"4"
-66.24156667,45.17536667,"4"
-66.24225,45.17763333,"4"
-66.24391667,45.17985,"4"
-66.24575,45.1824,"1"
-66.24793333,45.18276667,"1"
-66.25015,45.1834,"1"
-66.25183333,45.18395,"1"
-66.25366667,45.18463333,"1"
-66.25713333,45.18623333,"1"
-66.25815,45.18626667,"1"
-66.24505,45.17686667,"4"
-66.24611667,45.17501667,"4"
-66.24231667,45.15778333,"5"
-66.24005,45.15478333,"5"
-66.23926667,45.15218333,"5"
-66.24181667,45.1494,"5"
-66.24673333,45.14875,"3"
-66.25021667,45.15246667,"3"
-66.2511,45.15716667,"5"
-66.25311667,45.16128333,"2"
-66.26021667,45.14075,"3"
-66.26183333,45.14263333,"3"
-66.24868333,45.14636667,"3"
-66.24608333,45.14648333,"3"
-66.24345,45.14663333,"5"
-66.23956667,45.14775,"5"
-66.23713333,45.15128333,"5"
-66.23283333,45.15526667,"5"
-66.24936667,45.16073333,"5"
-66.25561667,45.16146667,"2"
-66.24298333,45.16436667,"4"
-66.24123333,45.1681,"4"
-66.24043333,45.17196667,"4"
-66.24136667,45.17621667,"4"
-66.24303333,45.17948333,"4"
-66.248,45.18268333,"1"
-66.2544,45.18465,"1"
-66.25833333,45.1862,"1"
-66.26146667,45.18993333,"1"
-66.24695,45.18015,"1"
-66.24995,45.17988333,"1"
-66.2461,45.17761667,"4"
-66.23883333,45.17776667,"4"
-66.2332,45.17438333,"6"
-66.2282,45.16796667,"6"
-66.22783333,45.16443333,"6"
-66.23966667,45.16175,"5"
-66.24161667,45.16221667,"5"
-66.26436667,45.15868333,"2"
-66.26916667,45.16486667,"2"
-66.26186667,45.14251667,"3"
-66.25818333,45.14146667,"3"
-66.25096667,45.14736667,"3"
-66.2516,45.14966667,"3"
-66.24603333,45.14991667,"5"
-66.24125,45.15368333,"5"
-66.23583333,45.15321667,"5"
-66.23271667,45.15793333,"5"
-66.2377,45.16023333,"5"
-66.25238333,45.16376667,"2"
-66.26253333,45.1589,"2"
-66.26583333,45.1608,"2"
-66.24191667,45.16196667,"5"
-66.23926667,45.16223333,"5"
-66.23406667,45.1659,"6"
-66.2265,45.16753333,"6"
-66.24026667,45.17583333,"4"
-66.24103333,45.17918333,"4"
-66.24598333,45.17685,"4"
-66.24535,45.17316667,"4"
-66.25938333,45.18661667,"1"
-66.25696667,45.18543333,"1"
-66.2541,45.18423333,"1"
-66.24546667,45.18125,"1"
-66.24245,45.17781667,"4"
-66.24138333,45.17513333,"4"
-66.2406,45.17273333,"4"
-66.24086667,45.1703,"4"
-66.24278333,45.16638333,"4"
-66.243,45.16475,"4"
-66.2617,45.14066667,"3"
-66.26121667,45.1425,"3"
-66.24898333,45.14506667,"3"
-66.24985,45.1482,"3"
-66.24948333,45.15035,"3"
-66.25076667,45.15235,"3"
-66.25176667,45.15475,"3"
-66.23981667,45.1568,"5"
-66.23923333,45.15425,"5"
-66.2392,45.15175,"5"
-66.24456667,45.16275,"5"
-66.24356667,45.16485,"4"
-66.24195,45.16751667,"4"
-66.24091667,45.17108333,"4"
-66.24105,45.17316667,"4"
-66.24115,45.17491667,"4"
-66.2422,45.1774,"4"
-66.24435,45.18061667,"1"
-66.24871667,45.18186667,"1"
-66.25246667,45.18368333,"1"
-66.25366667,45.18345,"1"
-66.25205,45.18145,"1"
-66.25066667,45.17996667,"1"
-66.24733333,45.17843333,"1"
-66.24766667,45.17496667,"4"
-66.24376667,45.17261667,"4"
-66.23823333,45.16855,"4"
-66.23505,45.16638333,"6"
-66.23,45.16525,"6"
-66.23131667,45.16455,"6"
-66.25416667,45.14815,"3"
-66.25515,45.1494,"3"
-66.25733333,45.15006667,"3"
-66.25006667,45.16815,"4"
-66.24845,45.17051667,"4"
-66.24563333,45.17008333,"4"
-66.23688333,45.16298333,"5"
-66.23401667,45.16028333,"5"
-66.23653333,45.1584,"5"
-66.24908333,45.15853333,"5"
-66.24208333,45.16633333,"4"
-66.2413,45.16903333,"4"
-66.25436667,45.18495,"1"
-66.25748333,45.186,"1"
-66.25271667,45.18233333,"1"
-66.25113333,45.18068333,"1"
-66.24851667,45.17841667,"1"
-66.23778333,45.17545,"4"
-66.23495,45.17206667,"6"
-66.23178333,45.16983333,"6"
-66.22843333,45.16586667,"6"
-66.26056667,45.1609,"2"
-66.26431667,45.16058333,"2"
-66.26231667,45.15673333,"2"
-66.26941667,45.16351667,"2"
-66.26801667,45.16195,"2"
-66.26393333,45.16113333,"2"
-66.24866667,45.17465,"4"
-66.24541667,45.17481667,"4"
-66.24715,45.177,"4"
-66.23805,45.17873333,"4"
-66.23608333,45.17503333,"4"
-66.2321,45.17203333,"6"
-66.22668333,45.16843333,"6"
-66.25236667,45.18408333,"1"
-66.24713333,45.18098333,"1"
-66.2435,45.17464667,"4"
-66.24203333,45.17563333,"4"
-66.2406,45.17375,"4"
-66.2412,45.17181667,"4"
-66.24083333,45.16898333,"4"
-66.24201667,45.16783333,"4"
-66.24215,45.16588333,"4"
-66.243,45.16526667,"4"
-66.24516667,45.16661667,"4"
-66.24783333,45.16413333,"4"
-66.24581667,45.16063333,"5"
-66.2475,45.15598333,"5"
-66.24236667,45.15623333,"5"
-66.24251667,45.15333333,"5"
-66.24693333,45.15286667,"5"
-66.25226667,45.15713333,"2"
-66.2558,45.15373333,"3"
-66.24763333,45.14876667,"3"
-66.23009,45.16577,"6"
-66.22815,45.16772,"6"
-66.22764,45.17036,"6"
-66.23492,45.17069,"6"
-66.23711,45.17599,"4"
-66.24024,45.17815,"4"
-66.24487,45.17352,"4"
-66.24787,45.17648,"4"
-66.25131,45.18117,"1"
-66.25588,45.18631,"1"
-66.25672,45.1861,"1"
-66.25386,45.18435,"1"
-66.24945,45.18241,"1"
-66.24563,45.17991,"1"
-66.2419,45.17692,"4"
-66.24076,45.17232,"4"
-66.2415,45.16754,"4"
-66.24249,45.16583,"4"
-66.24145,45.16427,"5"
-66.2443,45.16336,"5"
-66.2472,45.16897,"4"
-66.25994,45.15854,"2"
-66.25056,45.15367,"3"
-66.24623,45.15341,"5"
-66.24217,45.15206,"5"
-66.23825,45.15132,"5"
-66.23567,45.15356,"5"
-66.2338,45.15779,"5"
-66.23759,45.15942,"5"
-66.25175,45.14748,"3"
-66.27005,45.16414,"2"
-66.26995,45.16556,"2"
-66.26328,45.16072,"2"
-66.24816,45.17578,"4"
-66.24892,45.17818,"1"
-66.2523,45.18205,"1"
-66.24113,45.17989,"4"
-66.23741,45.17634,"4"
-66.2309,45.17167,"6"
-66.23121,45.167,"6"
-66.25048,45.18349,"1"
-66.24959,45.1822,"1"
-66.24646,45.18236,"1"
-66.24297,45.17797,"4"
-66.24198,45.17594,"4"
-66.24086,45.17447,"4"
-66.2408,45.17158,"4"
-66.24101,45.1694,"4"
-66.24237,45.16635,"4"
-66.24632,45.16889,"4"
-66.25112,45.16812,"4"
-66.25495,45.1633,"2"
-66.25467,45.15829,"2"
-66.25637,45.15179,"3"
-66.24544,45.15831,"5"
-66.23897,45.15863,"5"
-66.23285,45.16285,"6"
-66.23562,45.1558,"5"
-66.24389,45.14918,"5"
-66.24534,45.1801,"1"
-66.24793,45.14455,"3"
-66.24922,45.14542,"3"
-66.25099,45.14757,"3"
-66.25071,45.15248,"3"
-66.24955,45.15694,"5"
-66.24365,45.15677,"5"
-66.23724,45.15773,"5"
-66.23427,45.16041,"5"
-66.24839,45.16006,"5"
-66.25611,45.15997,"2"
-66.26277,45.15818,"2"
-66.26356,45.16069,"2"
-66.2431,45.17071,"4"
-66.24345,45.17364,"4"
-66.24634,45.17649,"4"
-66.24943,45.17962,"1"
-66.2411,45.17941,"4"
-66.24783,45.17588,"4"
