set_id,lat,lon,day_jour,month_mois,year_année,station,replicate_réplicat,cont_wt_g,gross_wet_wt_g,gross_dry_wt_g,net_dry_wt_g,sieve_wt_250um_g,sieve_wt_125um_g,sieve_wt_64um_g,gross_wt_250um_g,gross_wt_125um_g,gross_wt_64um_g,net_dry_250um_g,net_dry_125um_g,net_dry_64um_g,silt_frac_g
2011.09.001,45.14075,-66.26021667,1,9,2011,1,a,6.2778,34.0235,33.9389,27.6611,83.7504,79.5634,77.7643,83.7923,79.9604,81.1508,0.0419,0.397,3.3865,23.8357
2011.09.002,45.14263333,-66.26183333,1,9,2011,2,a,6.3088,33.1497,33.0865,26.7777,80.2814,80.0605,78.4858,80.7942,80.9008,81.5616,0.5128,0.8403,3.0758,22.3488
2011.09.003,45.14636667,-66.24868333,1,9,2011,3,a,6.3356,27.2129,27.1853,20.8497,85.0923,81.5106,78.7343,85.1063,81.6408,81.0848,0.014,0.1302,2.3505,18.355
2011.09.004,45.14648333,-66.24608333,1,9,2011,4,a,6.3538,32.9757,32.9433,26.5895,83.5714,80.8549,78.448,83.5742,80.9838,84.1922,0.0028,0.1289,5.7442,20.7136
2011.09.005,45.14663333,-66.24345,1,9,2011,5,a,6.3375,38.475,38.4452,32.1077,81.3784,79.0289,79.0378,81.775,79.6175,94.4968,0.3966,0.5886,15.459,15.6635
2011.09.006,45.14775,-66.23956667,1,9,2011,6,a,6.3394,32.0672,32.011,25.6716,83.7488,79.5508,77.7605,84.5625,80.256,82.9594,0.8137,0.7052,5.1989,18.9538
2011.09.007,45.15128333,-66.23713333,1,9,2011,7,a,6.4805,32.2449,32.1839,25.7034,80.2828,80.0578,78.4835,80.2962,80.1478,82.3853,0.0134,0.09,3.9018,21.6982
2011.09.008,45.15526667,-66.23283333,1,9,2011,8,a,6.3809,39.8148,39.7718,33.3909,85.0932,81.5064,78.7329,85.1126,81.5791,88.1091,0.0194,0.0727,9.3762,23.9226
2011.09.009,45.16073333,-66.24936667,1,9,2011,9,a,6.3932,29.1853,29.1025,22.7093,83.5701,80.8534,78.4436,83.5882,81.017,82.6706,0.0181,0.1636,4.227,18.3006
2011.09.010,45.16146667,-66.25561667,1,9,2011,10,a,6.3462,26.4968,26.4684,20.1222,81.3775,79.0327,79.049,81.3864,79.1097,89.5513,0.0089,0.077,10.5023,9.534
2011.09.011,45.16436667,-66.24298333,1,9,2011,11,a,6.3396,26.7247,26.6759,20.3363,83.7536,79.5492,77.7667,83.8451,79.7248,79.8782,0.0915,0.1756,2.1115,17.9577
2011.09.012,45.1681,-66.24123333,1,9,2011,12,a,6.2707,27.2416,27.1873,20.9166,80.2823,80.0623,78.4884,80.3381,80.1554,79.919,0.0558,0.0931,1.4306,19.3371
2011.09.013,45.17196667,-66.24043333,1,9,2011,13,a,6.4006,24.6198,24.5709,18.1703,85.0941,81.509,78.7358,85.1005,81.6073,79.7255,0.0064,0.0983,0.9897,17.0759
2011.09.014,45.17621667,-66.24136667,1,9,2011,14,a,6.3702,31.7205,31.6817,25.3115,83.5734,80.8518,78.4474,83.5979,81.005,79.7897,0.0245,0.1532,1.3423,23.7915
2011.09.015,45.17948333,-66.24303333,1,9,2011,15,a,6.3636,22.1215,22.0825,15.7189,81.3795,79.0342,79.045,81.3957,79.0944,80.0223,0.0162,0.0602,0.9773,14.6652
2011.09.016,45.18268333,-66.248,1,9,2011,16,a,6.3384,26.1637,26.1388,19.8004,83.751,79.5471,77.764,83.7806,79.719,79.1893,0.0296,0.1719,1.4253,18.1736
2011.09.017,45.18465,-66.2544,1,9,2011,17,a,6.2701,32.0065,31.9998,25.7297,80.2775,80.0603,78.4852,105.4385,80.0936,78.5703,25.161,0.0333,0.0851,0.4503
2011.09.018,45.1862,-66.25833333,1,9,2011,18,a,6.3999,27.4707,27.4716,21.0717,85.0947,81.5119,78.7303,102.5969,81.6589,78.9525,17.5022,0.147,0.2222,3.2003
2011.09.019,45.18993333,-66.26146667,1,9,2011,19,a,6.3701,18.1565,18.1512,11.7811,83.5694,80.8489,78.4458,83.9318,81.0257,79.2381,0.3624,0.1768,0.7923,10.4496
2011.09.020,45.18015,-66.24695,1,9,2011,20,a,6.3627,31.7029,31.639,25.2763,81.376,79.0287,79.041,81.6676,79.3317,83.7345,0.2916,0.303,4.6935,19.9882
2011.09.021,45.17988333,-66.24995,1,9,2011,21,a,6.2773,16.7398,16.695,10.4177,83.736,79.5341,77.7515,83.7608,79.5812,78.0588,0.0248,0.0471,0.3073,10.0385
2011.09.022,45.17761667,-66.2461,1,9,2011,22,a,6.308,28.8064,28.7704,22.4624,80.2738,80.0482,78.4722,80.2928,80.0856,80.0413,0.019,0.0374,1.5691,20.8369
2011.09.023,45.17776667,-66.23883333,1,9,2011,23,a,6.3345,27.7408,27.6443,21.3098,85.0839,81.4984,78.7183,85.1138,81.5696,80.2979,0.0299,0.0712,1.5796,19.6291
2011.09.024,45.17438333,-66.2332,1,9,2011,24,a,6.3538,29.2358,29.1029,22.7491,83.564,80.8365,78.436,83.7615,80.9439,80.0402,0.1975,0.1074,1.6042,20.84
2011.09.025,45.16796667,-66.2282,1,9,2011,25,a,6.3354,27.7383,27.7248,21.3894,81.3711,79.0222,79.0319,81.4063,79.1148,83.1676,0.0352,0.0926,4.1357,17.1259
2011.09.026,45.16443333,-66.22783333,1,9,2011,26,a,6.339,19.506,19.4957,13.1567,83.7455,79.537,77.7551,83.7572,79.594,78.4676,0.0117,0.057,0.7125,12.3755
2011.09.027,45.16175,-66.23966667,1,9,2011,27,a,6.27,29.9279,29.9148,23.6448,80.2795,80.0513,78.479,81.5764,84.0973,84.7078,1.2969,4.046,6.2288,12.0731
2011.09.028,45.16221667,-66.24161667,1,9,2011,28,a,6.3999,25.2221,25.1552,18.7553,85.0937,81.5054,78.725,85.2428,82.3478,80.9931,0.1491,0.8424,2.2681,15.4957
2011.09.029,45.15868333,-66.26436667,1,9,2011,29,a,6.3683,24.1549,24.0936,17.7253,83.567,80.8442,78.4389,83.5873,80.902,79.1151,0.0203,0.0578,0.6762,16.971
2011.09.030,45.16486667,-66.26916667,1,9,2011,30,a,6.3465,28.5754,28.4893,22.1428,81.3734,79.026,79.0361,81.3864,79.0645,79.5015,0.013,0.0385,0.4654,21.6259
2012.09.001,45.14066667,-66.2617,20,9,2012,1,a,6.3384,10.7621,10.7345,4.3961,83.7402,79.5253,77.7598,84.0219,79.5572,77.9666,0.2817,0.0319,0.2068,3.8757
2012.09.002,45.1425,-66.26121667,20,9,2012,2,a,6.269,26.8551,26.7484,20.4794,80.2784,80.0524,78.485,81.373,80.137,81.4767,1.0946,0.0846,2.9917,16.3085
2012.09.003,45.14506667,-66.24898333,20,9,2012,3,,,,,,,,,,,,,,,
2012.09.004,45.1482,-66.24985,20,9,2012,4,a,6.3685,40.0546,39.8969,33.5284,83.5747,80.8611,78.451,85.2147,81.8847,81.8488,1.64,1.0236,3.3978,27.467
2012.09.005,45.15035,-66.24948333,20,9,2012,5,a,6.362,28.9626,28.8708,22.5088,81.3777,79.0278,79.0408,83.6001,81.2894,81.5361,2.2224,2.2616,2.4953,15.5295
2012.09.006,45.15235,-66.25076667,20,9,2012,6,a,6.2761,17.8207,17.7602,11.4841,83.7483,79.5312,77.762,83.7501,79.5717,79.6905,0.0018,0.0405,1.9285,9.5133
2012.09.007,45.15475,-66.25176667,20,9,2012,7,a,6.3073,30.5989,30.5279,24.2206,80.2837,80.0582,78.4839,80.2899,80.0834,82.0391,0.0062,0.0252,3.5552,20.634
2012.09.008,45.1568,-66.23981667,20,9,2012,8,a,6.3338,24.8863,24.8159,18.4821,85.0908,81.5095,78.7323,85.0939,81.5591,82.6423,0.0031,0.0496,3.91,14.5194
2012.09.009,45.15425,-66.23923333,20,9,2012,9,a,6.3523,38.8299,38.6706,32.3183,83.5693,80.8564,78.4434,83.612,81.1664,82.8317,0.0427,0.31,4.3883,27.5773
2012.09.010,45.15175,-66.2392,20,9,2012,10,a,6.3362,30.0721,29.9627,23.6265,81.376,79.0174,79.0352,81.3919,79.354,84.8271,0.0159,0.3366,5.7919,17.4821
2012.09.011,45.16275,-66.24456667,20,9,2012,11,a,6.3391,16.3815,16.3635,10.0244,83.7431,79.5593,77.8301,83.7617,80.2076,81.7196,0.0186,0.6483,3.8895,5.468
2012.09.012,45.16485,-66.24356667,20,9,2012,12,a,6.4804,27.1075,26.9848,20.5044,80.3202,80.2719,78.4946,80.3526,80.3495,81.0736,0.0324,0.0776,2.579,17.8154
2012.09.013,45.16751667,-66.24195,20,9,2012,13,a,6.3808,19.3626,19.2718,12.891,85.0979,81.5059,78.7502,85.1328,81.6349,79.9978,0.0349,0.129,1.2476,11.4795
