"set_id","station","strata_strate","season_saison","total_count","tot_wt_g","shannon_index","species_richness","lat","lon","wet_weight","dry_weight","water_content_ratio","sand_pct","fine_sand_pct","silt_clay_pct","air_dry_wt","oven_dry_wt","loss_ash1","loss_ash2","tot_perc_loss__","depth_m_profondeur_m"
"2010.02.001",1,"channel","Winter",376,6407,1.71084064761131,16,45.18628333,-66.25706667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1
"2010.02.002",2,"channel","Winter",181,6196,1.81071708582242,12,45.18533333,-66.25483333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"2010.02.003",3,"channel","Winter",545,4307,2.37305381800299,35,45.1841,-66.25236667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5
"2010.02.004",4,"channel","Winter",441,5947,2.15638001070492,24,45.18301667,-66.2486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"2010.02.005",5,"channel","Winter",593,6531,2.20358225736583,20,45.18128333,-66.24531667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"2010.02.006",6,"channel","Winter",1113,6418,1.38232141116591,19,45.17888333,-66.24243333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
"2010.02.007",7,"channel","Winter",1613,5996,1.72258374157523,24,45.17626667,-66.24101667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
"2010.02.008",8,"channel","Winter",574,6818,1.43280560531847,23,45.17315,-66.24018333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
"2010.02.009",9,"channel","Winter",445,5809,1.6001544783916,18,45.17015,-66.24038333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"2010.02.010",10,"channel","Winter",583,5912,1.69687603866447,19,45.16558333,-66.24205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
"2010.02.011",11,"subtidal","Winter",275,1768,2.49811983650945,24,45.16111667,-66.23395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2010.02.012",12,"subtidal","Winter",345,1811,2.07321148576085,26,45.15476667,-66.23531667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"2010.02.013",13,"subtidal","Winter",2246,5132,1.80454313915671,29,45.14865,-66.23871667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4
"2010.02.014",14,"subtidal","Winter",485,1868,1.77022796858197,19,45.14768333,-66.24478333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1
"2010.02.015",15,"subtidal","Winter",3579,6733,0.919462303288617,26,45.1501,-66.25236667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
"2010.02.016",16,"subtidal","Winter",708,1808,1.61467805062475,23,45.15658333,-66.25671667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2
"2010.02.017",17,"subtidal","Winter",141,1189,1.84620102479952,12,45.16575,-66.25015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9
