set_id,day_jour,month_mois,year_année,station,lat,lon,depth_m_profondeur_m,time_heure,strata_strate,season_saison,wt_a_g,wt_b_g,wt_c_g,tot_wt_g,comments_commentaires
2010.02.001,18,2,2010,1,45.18628333,-66.25706667,8.1,14:05,channel,Winter,1899.8,2224.5,2282.7,6407,
2010.02.002,18,2,2010,2,45.18533333,-66.25483333,11,14:10,channel,Winter,2085.8,2113.1,1997.5,6196.4,
2010.02.003,18,2,2010,3,45.1841,-66.25236667,9.5,14:14,channel,Winter,1552.3,1783.5,971.2,4307,
2010.02.004,18,2,2010,4,45.18301667,-66.2486,3.5,14:18,channel,Winter,1914.2,1958.2,2074.9,5947.3,
2010.02.005,18,2,2010,5,45.18128333,-66.24531667,3.6,14:21,channel,Winter,2207.6,1982.8,2340.8,6531.2,
2010.02.006,18,2,2010,6,45.17888333,-66.24243333,4.4,14:23,channel,Winter,2199.2,2284.1,1934.5,6417.8,
2010.02.007,18,2,2010,7,45.17626667,-66.24101667,3.9,14:27,channel,Winter,2199.6,1754.5,2041.4,5995.5,
2010.02.008,18,2,2010,8,45.17315,-66.24018333,4.4,14:30,channel,Winter,2304.4,2215.4,2298.6,6818.4,
2010.02.009,18,2,2010,9,45.17015,-66.24038333,5,14:32,channel,Winter,1552,2224,2033,5809,
2010.02.010,18,2,2010,10,45.16558333,-66.24205,4.4,14:35,channel,Winter,1940.4,1937.2,2034.6,5912.2,
2010.02.011,18,2,2010,11,45.16111667,-66.23395,4,14:43,subtidal,Winter,951.6,630.2,186.4,1768.2,
2010.02.012,18,2,2010,12,45.15476667,-66.23531667,5,14:48,subtidal,Winter,739.3,429.4,642.5,1811.2,
2010.02.013,18,2,2010,13,45.14865,-66.23871667,9.4,14:51,subtidal,Winter,1727,2032.4,1372.8,5132.2,
2010.02.014,18,2,2010,14,45.14768333,-66.24478333,12.1,14:56,subtidal,Winter,492,892.7,483.3,1868,
2010.02.015,18,2,2010,15,45.1501,-66.25236667,6.5,15:00,subtidal,Winter,2204.9,2332.8,2195.2,6732.9,
2010.02.016,18,2,2010,16,45.15658333,-66.25671667,5.2,15:05,subtidal,Winter,639.1,733.7,434.7,1807.5,
2010.02.017,18,2,2010,17,45.16575,-66.25015,4.9,15:10,subtidal,Winter,202,450.3,536.6,1188.9,
2010.02.018,18,2,2010,18,45.16161667,-66.2447,6.5,15:14,subtidal,Winter,2211.3,1988.9,2203,6403.2,
2010.02.019,18,2,2010,19,45.15568333,-66.24491667,7.4,15:17,subtidal,Winter,222.1,261.8,676,1159.9,
2010.02.020,18,2,2010,20,45.15095,-66.24588333,10.5,15:22,subtidal,Winter,79.5,801.8,1563.2,2444.5,
2010.02.021,18,2,2010,21,45.15901667,-66.26161667,4.2,15:30,intertidal,Winter,746.8,105.1,205.6,1057.5,
2010.02.022,18,2,2010,22,45.16278333,-66.26763333,1.7,15:38,intertidal,Winter,1694.8,1606.6,1636.7,4938.1,
2010.02.023,18,2,2010,23,45.1754,-66.24703333,4.5,15:44,intertidal,Winter,1258.8,981.2,1810.7,4050.7,
2010.02.024,18,2,2010,24,45.17981667,-66.24963333,3.6,15:47,intertidal,Winter,812.6,1538.8,1163.9,3515.3,
