set_id,lat,lon,station,strata_strate,day_jour,month_mois,year_année,season_saison,scientificName_Nom_scientifique,scientificNameID_Identifiant_du_nom_scientifique,total_count,tot_wt_g,shannon_index,species_count
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Manayunkia aestuarina,urn:lsid:marinespecies.org:taxname:130926,4.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Alitta virens,urn:lsid:marinespecies.org:taxname:234851,1.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Nephtys ciliata,urn:lsid:marinespecies.org:taxname:130356,1.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Micronephthys cornuta,urn:lsid:marinespecies.org:taxname:869884,4.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Nephtys incisa,urn:lsid:marinespecies.org:taxname:130362,1.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Streblospio benedicti,urn:lsid:marinespecies.org:taxname:131191,171.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Tubificoides benedii,urn:lsid:marinespecies.org:taxname:137571,28.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Naididae,urn:lsid:marinespecies.org:taxname:2039,69.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Phascolion (Phascolion) strombus strombus,urn:lsid:marinespecies.org:taxname:410749,1.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Mya arenaria,urn:lsid:marinespecies.org:taxname:140430,2.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,3.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Harpacticoida,urn:lsid:marinespecies.org:taxname:1102,55.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Ostracoda,urn:lsid:marinespecies.org:taxname:1078,5.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Acari,urn:lsid:marinespecies.org:taxname:292684,4.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Pycnophyes frequens,urn:lsid:marinespecies.org:taxname:265126,18.0,6407.0,1.7108406476113103,16
2010.02.001,45.18628333,-66.25706667,1,channel,18,2,2010,Winter,Ceratopogonidae,urn:lsid:marinespecies.org:taxname:150940,9.0,6407.0,1.7108406476113103,16
2010.02.002,45.18533333,-66.25483333,2,channel,18,2,2010,Winter,Cossura longocirrata,urn:lsid:marinespecies.org:taxname:129984,29.0,6196.0,1.8107170858224209,12
2010.02.002,45.18533333,-66.25483333,2,channel,18,2,2010,Winter,Nephtys ciliata,urn:lsid:marinespecies.org:taxname:130356,2.0,6196.0,1.8107170858224209,12
2010.02.002,45.18533333,-66.25483333,2,channel,18,2,2010,Winter,Micronephthys cornuta,urn:lsid:marinespecies.org:taxname:869884,6.0,6196.0,1.8107170858224209,12
2010.02.002,45.18533333,-66.25483333,2,channel,18,2,2010,Winter,Nephtys incisa,urn:lsid:marinespecies.org:taxname:130362,3.0,6196.0,1.8107170858224209,12
2010.02.002,45.18533333,-66.25483333,2,channel,18,2,2010,Winter,Streblospio benedicti,urn:lsid:marinespecies.org:taxname:131191,68.0,6196.0,1.8107170858224209,12
2010.02.002,45.18533333,-66.25483333,2,channel,18,2,2010,Winter,Kirkegaardia,urn:lsid:marinespecies.org:taxname:884676,1.0,6196.0,1.8107170858224209,12
2010.02.002,45.18533333,-66.25483333,2,channel,18,2,2010,Winter,Oligochaeta,urn:lsid:marinespecies.org:taxname:2036,41.0,6196.0,1.8107170858224209,12
2010.02.002,45.18533333,-66.25483333,2,channel,18,2,2010,Winter,Mytilus edulis,urn:lsid:marinespecies.org:taxname:140480,5.0,6196.0,1.8107170858224209,12
2010.02.002,45.18533333,-66.25483333,2,channel,18,2,2010,Winter,Ecrobia truncata,urn:lsid:marinespecies.org:taxname:574096,2.0,6196.0,1.8107170858224209,12
2010.02.002,45.18533333,-66.25483333,2,channel,18,2,2010,Winter,Harpacticoida,urn:lsid:marinespecies.org:taxname:1102,7.0,6196.0,1.8107170858224209,12
2010.02.002,45.18533333,-66.25483333,2,channel,18,2,2010,Winter,Ostracoda,urn:lsid:marinespecies.org:taxname:1078,12.0,6196.0,1.8107170858224209,12
2010.02.002,45.18533333,-66.25483333,2,channel,18,2,2010,Winter,Acari,urn:lsid:marinespecies.org:taxname:292684,5.0,6196.0,1.8107170858224209,12
2010.02.003,45.1841,-66.25236667,3,channel,18,2,2010,Winter,Manayunkia aestuarina,urn:lsid:marinespecies.org:taxname:130926,3.0,4307.0,2.37305381800299,35
2010.02.003,45.1841,-66.25236667,3,channel,18,2,2010,Winter,Nemertea,urn:lsid:marinespecies.org:taxname:152391,4.0,4307.0,2.37305381800299,35
2010.02.003,45.1841,-66.25236667,3,channel,18,2,2010,Winter,Aricidea (Acmira) catherinae,urn:lsid:marinespecies.org:taxname:333034,83.0,4307.0,2.37305381800299,35
2010.02.003,45.1841,-66.25236667,3,channel,18,2,2010,Winter,Capitella capitata,urn:lsid:marinespecies.org:taxname:129876,1.0,4307.0,2.37305381800299,35
