set_id,lat,lon,station,strata_strate,day_jour_x,month_mois_x,year_année_x,season_saison,scientificName_Nom_scientifique,scientificNameID_Identifiant_du_nom_scientifique,total_count,tot_wt_g,day_jour_y,month_mois_y,year_année_y,cont_wt_g,gross_wet_wt_g,gross_dry_wt_g,net_dry_wt_g_x,sieve_wt_250um_g,sieve_wt_125um_g,sieve_wt_64um_g,gross_wt_250um_g,gross_wt_125um_g,gross_wt_64um_g,net_dry_250um_g,net_dry_125um_g,net_dry_64um_g,silt_frac_g,day_jour,month_mois,year_année,cont_g,air_cont_g,oven_cont_g,net_dry_wt_g_y,ash_1_g,ash_2_g,perc_loss_ash_1__,perc_loss_ash_2__,tot_perc_loss__
2011.09.001,45.14075,-66.26021667,1,subtidal,1,9,2011,Summer,Cirratulidae,urn:lsid:marinespecies.org:taxname:919,5.0,6495.0,1.0,9.0,2011.0,6.2778,34.0235,33.9389,27.6611,83.7504,79.5634,77.7643,83.7923,79.9604,81.1508,0.0419,0.397,3.3865,23.8357,1.0,9.0,2011.0,13.433499999999999,15.91675,15.91575,2.48225,15.84025,15.75,3.035694895,3.6439862557500002,6.67968115075
2011.09.001,45.14075,-66.26021667,1,subtidal,1,9,2011,Summer,Cossura longocirrata,urn:lsid:marinespecies.org:taxname:129984,76.0,6495.0,1.0,9.0,2011.0,6.2778,34.0235,33.9389,27.6611,83.7504,79.5634,77.7643,83.7923,79.9604,81.1508,0.0419,0.397,3.3865,23.8357,1.0,9.0,2011.0,13.433499999999999,15.91675,15.91575,2.48225,15.84025,15.75,3.035694895,3.6439862557500002,6.67968115075
2011.09.001,45.14075,-66.26021667,1,subtidal,1,9,2011,Summer,Ninoe nigripes,urn:lsid:marinespecies.org:taxname:130255,2.0,6495.0,1.0,9.0,2011.0,6.2778,34.0235,33.9389,27.6611,83.7504,79.5634,77.7643,83.7923,79.9604,81.1508,0.0419,0.397,3.3865,23.8357,1.0,9.0,2011.0,13.433499999999999,15.91675,15.91575,2.48225,15.84025,15.75,3.035694895,3.6439862557500002,6.67968115075
2011.09.001,45.14075,-66.26021667,1,subtidal,1,9,2011,Summer,Micronephthys cornuta,urn:lsid:marinespecies.org:taxname:869884,1.0,6495.0,1.0,9.0,2011.0,6.2778,34.0235,33.9389,27.6611,83.7504,79.5634,77.7643,83.7923,79.9604,81.1508,0.0419,0.397,3.3865,23.8357,1.0,9.0,2011.0,13.433499999999999,15.91675,15.91575,2.48225,15.84025,15.75,3.035694895,3.6439862557500002,6.67968115075
2011.09.001,45.14075,-66.26021667,1,subtidal,1,9,2011,Summer,Nephtys incisa,urn:lsid:marinespecies.org:taxname:130362,15.0,6495.0,1.0,9.0,2011.0,6.2778,34.0235,33.9389,27.6611,83.7504,79.5634,77.7643,83.7923,79.9604,81.1508,0.0419,0.397,3.3865,23.8357,1.0,9.0,2011.0,13.433499999999999,15.91675,15.91575,2.48225,15.84025,15.75,3.035694895,3.6439862557500002,6.67968115075
2011.09.001,45.14075,-66.26021667,1,subtidal,1,9,2011,Summer,Aricidea (Acmira) catherinae,urn:lsid:marinespecies.org:taxname:333034,3.0,6495.0,1.0,9.0,2011.0,6.2778,34.0235,33.9389,27.6611,83.7504,79.5634,77.7643,83.7923,79.9604,81.1508,0.0419,0.397,3.3865,23.8357,1.0,9.0,2011.0,13.433499999999999,15.91675,15.91575,2.48225,15.84025,15.75,3.035694895,3.6439862557500002,6.67968115075
2011.09.001,45.14075,-66.26021667,1,subtidal,1,9,2011,Summer,Levinsenia gracilis,urn:lsid:marinespecies.org:taxname:130578,15.0,6495.0,1.0,9.0,2011.0,6.2778,34.0235,33.9389,27.6611,83.7504,79.5634,77.7643,83.7923,79.9604,81.1508,0.0419,0.397,3.3865,23.8357,1.0,9.0,2011.0,13.433499999999999,15.91675,15.91575,2.48225,15.84025,15.75,3.035694895,3.6439862557500002,6.67968115075
2011.09.001,45.14075,-66.26021667,1,subtidal,1,9,2011,Summer,Sternaspis scutata,urn:lsid:marinespecies.org:taxname:131242,4.0,6495.0,1.0,9.0,2011.0,6.2778,34.0235,33.9389,27.6611,83.7504,79.5634,77.7643,83.7923,79.9604,81.1508,0.0419,0.397,3.3865,23.8357,1.0,9.0,2011.0,13.433499999999999,15.91675,15.91575,2.48225,15.84025,15.75,3.035694895,3.6439862557500002,6.67968115075
2011.09.001,45.14075,-66.26021667,1,subtidal,1,9,2011,Summer,Oligochaeta,urn:lsid:marinespecies.org:taxname:2036,3.0,6495.0,1.0,9.0,2011.0,6.2778,34.0235,33.9389,27.6611,83.7504,79.5634,77.7643,83.7923,79.9604,81.1508,0.0419,0.397,3.3865,23.8357,1.0,9.0,2011.0,13.433499999999999,15.91675,15.91575,2.48225,15.84025,15.75,3.035694895,3.6439862557500002,6.67968115075
2011.09.001,45.14075,-66.26021667,1,subtidal,1,9,2011,Summer,Nematoda,urn:lsid:marinespecies.org:taxname:799,5.0,6495.0,1.0,9.0,2011.0,6.2778,34.0235,33.9389,27.6611,83.7504,79.5634,77.7643,83.7923,79.9604,81.1508,0.0419,0.397,3.3865,23.8357,1.0,9.0,2011.0,13.433499999999999,15.91675,15.91575,2.48225,15.84025,15.75,3.035694895,3.6439862557500002,6.67968115075
